No.,IPV,Time,Source,Destination,Source Port,Destination Port,Length,Protocol,Human
380,6,6.082484,3232281142,3232281089,49779,53,66,TCP,0
381,6,6.082607,3232281142,3232281089,49780,53,66,TCP,0
382,4,6.082947,3232281089,3232281142,53,49771,54,TCP,0
383,4,6.0832,3232281142,3232281089,49771,53,54,TCP,0
384,4,6.084875,3232281089,3232281142,53,49779,66,TCP,0
385,6,6.084875,3232281089,3232281142,53,49780,66,TCP,0
386,6,6.084875,3232281089,3232281142,53,49778,54,TCP,0
387,6,6.085091,3232281142,3232281089,49779,53,54,TCP,0
388,4,6.085114,3232281142,3232281089,49780,53,54,TCP,0
389,6,6.085255,3232281142,3232281089,49778,53,54,TCP,0
390,4,6.085773,3232281142,3232281089,49779,53,56,TCP,0
391,6,6.085789,3232281142,3232281089,49780,53,56,TCP,0
392,6,6.085795,3232281142,3232281089,49779,53,89,DNS,0
393,4,6.085811,3232281142,3232281089,49780,53,89,DNS,0
394,6,6.085871,3232281089,3232281142,53,49772,54,TCP,0
395,4,6.085871,2817227836,3232281142,443,49649,54,TCP,0
396,6,6.085871,2817227836,3232281142,443,49650,54,TCP,0
397,4,6.085871,2817227836,3232281142,443,49644,54,TCP,0
398,4,6.085871,580244451,3232281142,443,65451,54,TCP,0
399,6,6.085931,3232281142,2817227836,49649,443,54,TCP,0
400,6,6.085947,3232281142,2817227836,49650,443,54,TCP,0
401,4,6.085955,3232281142,2817227836,49644,443,54,TCP,0
402,6,6.086101,3232281142,3232281089,49772,53,54,TCP,0
403,6,6.087178,2902291547,3232281142,443,49399,54,TCP,0
404,6,6.087178,3232281089,3232281142,53,49779,54,TCP,0
405,6,6.087178,3232281089,3232281142,53,49780,54,TCP,0
406,6,6.087178,3232281089,3232281142,53,49780,54,TCP,0
407,6,6.087178,3232281089,3232281142,53,49779,54,TCP,0
408,6,6.088303,3232281089,3232281142,53,49779,123,DNS,0
409,4,6.088303,3232281089,3232281142,53,49780,161,DNS,0
410,4,6.088303,580244451,3232281142,443,65446,54,TCP,0
411,6,6.088303,580244451,3232281142,443,65446,54,TCP,0
412,4,6.088303,580244451,3232281142,443,65446,54,TCP,0
413,4,6.088646,3232281142,3232281089,49779,53,54,TCP,0
414,6,6.088746,3232281142,3232281089,49780,53,54,TCP,0
415,6,6.089192,3232281142,3232281089,49781,53,66,TCP,0
416,4,6.089331,3232281142,3232281089,49782,53,66,TCP,0
417,4,6.089381,1746043628,3232281142,443,49768,566,TLSv1.3,0
418,6,6.090611,3232281089,3232281142,53,49779,54,TCP,0
419,4,6.090611,3232281089,3232281142,53,49781,66,TCP,0
420,6,6.090611,3232281089,3232281142,53,49782,66,TCP,0
421,6,6.090611,3232281089,3232281142,53,49780,54,TCP,0
422,6,6.090839,3232281142,3232281089,49779,53,54,TCP,0
423,4,6.090863,3232281142,3232281089,49781,53,54,TCP,0
424,4,6.090884,3232281142,3232281089,49782,53,54,TCP,0
425,4,6.090974,3232281142,3512060511,49342,443,54,TCP,0
426,6,6.091029,3232281142,3232281089,49780,53,54,TCP,0
427,6,6.091459,3232281142,3232281089,49782,53,56,TCP,0
428,6,6.091476,3232281142,3232281089,49782,53,102,DNS,0
429,6,6.092771,580244451,3232281142,443,65446,54,TCP,0
430,4,6.092771,3232281089,3232281142,53,49782,54,TCP,0
431,6,6.092771,3232281089,3232281142,53,49782,54,TCP,0
432,4,6.093895,3232281089,3232281142,53,49782,193,DNS,0
433,6,6.094272,3232281142,3232281089,49782,53,54,TCP,0
436,6,6.096314,3512060511,3232281142,443,49342,128,TLSv1.2,1
437,6,6.096314,3512060511,3232281142,443,49342,485,TLSv1.2,1
438,4,6.096314,3512060511,3232281142,443,49342,136,TLSv1.2,1
439,6,6.096314,3512060511,3232281142,443,49342,93,TLSv1.2,1
440,6,6.096375,3232281142,3512060511,49342,443,54,TCP,0
441,4,6.096873,3232281142,3512060511,49342,443,89,TLSv1.2,1
442,6,6.096926,3232281142,3512060511,49342,443,93,TLSv1.2,1
443,6,6.097624,3232281089,3232281142,53,49782,54,TCP,0
444,4,6.097878,3232281142,3232281089,49782,53,54,TCP,0
447,4,6.10142,3232281142,3353877125,49783,80,66,TCP,0
448,6,6.102102,3512060511,3232281142,443,49342,54,TCP,0
449,6,6.102102,580244451,3232281142,443,65451,418,TLSv1.2,1
450,6,6.102102,3512060511,3232281142,443,49342,54,TCP,0
451,4,6.102102,580244451,3232281142,443,65446,449,TLSv1.2,1
452,6,6.106266,3353877125,3232281142,80,49783,66,TCP,0
453,6,6.106388,3232281142,3353877125,49783,80,54,TCP,0
454,4,6.106502,3232281142,3353877125,49783,80,314,HTTP,0
455,4,6.111825,3353877125,3232281142,80,49783,54,TCP,0
456,4,6.112968,3353877125,3232281142,80,49783,1506,TCP,0
457,6,6.112968,3353877125,3232281142,80,49783,563,OCSP,0
458,4,6.113007,3232281142,3353877125,49783,80,54,TCP,0
459,4,6.117194,1745972076,3232281142,443,65168,469,TLSv1.2,1
460,6,6.117346,3232281142,1745972076,65168,443,404,TLSv1.2,1
461,6,6.11755,3232281142,3232281089,49781,53,56,TCP,0
462,4,6.117572,3232281142,3232281089,49781,53,102,DNS,0
463,6,6.117604,3232281142,3232281089,49777,53,54,TCP,0
464,4,6.118032,3232281142,3353877079,49773,443,147,TLSv1.2,0
