number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
3986,443,51721,6,54,709.46675258,0.00002789,60.00000000,12.00000000,0.11548781,0
3987,51720,443,6,715,48.28394744,0.00038123,273.33333333,530.00000000,0.00054812,1
3988,443,51721,6,1474,710.72849047,0.00078797,531.33333333,1414.00000000,0.00116920,0
3989,443,51710,6,486,277.45454545,0.00000000,621.75000000,148.09090909,0.00230217,1
3990,443,51721,6,1474,710.61688980,0.00000000,767.00000000,942.66666667,0.00000000,0
3991,443,51721,6,514,249.56602317,0.00000000,716.40000000,253.00000000,0.00000000,0
3992,51721,443,6,54,709.50180134,0.00009584,122.50000000,91.33333333,0.11550093,0
3993,51717,443,6,1506,742.68073064,0.00162911,674.77777778,935.12500000,0.07224011,0
3994,51717,443,6,427,336.51028807,0.00000000,650.00000000,247.77777778,0.00000000,1
3995,51721,443,6,180,583.42375932,0.00139785,134.00000000,57.50000000,0.00302696,0
3996,51716,443,6,1506,742.72622108,0.00190616,663.33333333,919.27272727,0.07536817,0
3997,51716,443,6,277,486.46466204,0.00000000,633.61538462,386.33333333,0.00000000,1
3998,51715,443,6,1506,742.66032888,0.00011492,620.30769231,959.50000000,0.00637698,0
3999,51715,443,6,277,486.53043925,0.00000000,595.78571429,343.30769231,0.00000000,1
4000,51584,443,6,1506,742.59450437,0.00610614,686.96428571,849.37037037,0.09043217,0
4001,51584,443,6,377,386.59614891,0.00000000,676.27586207,309.96428571,0.00000000,1
4002,443,51714,6,878,114.50308008,0.01866484,480.92307692,430.16666667,0.04528284,1
4003,443,51717,6,54,709.52630228,0.00110316,355.87500000,345.00000000,0.06577301,0
4004,443,51716,6,54,709.34427912,0.00247788,784.87500000,779.60000000,0.06971693,0
4005,51714,443,6,1506,742.83765068,0.00086498,774.80000000,783.42857143,0.07871294,0
4006,51714,443,6,383,380.35282051,0.00000000,750.31250000,391.80000000,0.00000000,1
4007,443,51715,6,54,709.25531915,0.00025511,419.18181818,401.70000000,0.08564806,0
4008,443,51584,6,54,709.07355202,0.00529003,1143.77083333,1112.95744681,0.16096520,0
4009,443,51584,6,1486,723.10812196,0.00532293,1150.75510204,342.22916667,0.00532293,1
4010,51710,443,6,54,709.07710041,0.00014091,393.45454545,373.40000000,0.16196895,0
4011,443,51716,6,1333,570.10448143,0.00758815,817.11764706,548.12500000,0.01946211,1
4012,443,51715,6,1333,569.95852535,0.00000000,495.33333333,913.81818182,0.01834202,1
4013,51592,443,6,1487,723.81264397,0.00262284,913.80000000,716.50000000,2.85644603,1
4014,51590,443,6,1487,723.62743091,0.00011516,630.80000000,1070.25000000,2.93789005,1
4015,51715,443,6,1506,742.44231261,0.00591397,656.46666667,910.21428571,0.05646610,0
4016,51715,443,6,490,273.74757033,0.00000000,646.06250000,166.46666667,0.00000000,1
